EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,TotalPoss,LongMidRangeFGA,Arc3FGA,PenaltyArc3FGA,FG2A,FG3A,OpponentPoints,PenaltyFG3A,NonHeaveArc3FGA,PenaltyOffPossExcludingTakeFouls,FG3APct,Usage,LongMidRangeFrequency,Arc3Frequency,PenaltyArc3Frequency,AtRimFG3AFrequency,ShotQualityAvg,PenaltyShotQualityAvg,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,AtRimFGA,AtRimFrequency,AtRimFGM,PenaltyAtRimFGM,PenaltyAtRimFGA,FG2M,Points,PenaltyFG2M,PenaltyFG2A,PenaltyPoints,PtsUnassisted2s,DefThreePtRebounds,DefRebounds,Rebounds,ShootingFouls,Fouls,FoulsDrawn,PenaltyPointsExcludingTakeFouls,Fg2Pct,PenaltyFg2Pct,EfgPct,PenaltyEfgPct,TsPct,PenaltyTsPct,DefThreePtReboundPct,DefFGReboundPct,DefCorner3ReboundPct,AtRimAccuracy,UnblockedAtRimAccuracy,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyPointsPct,on,SecondChanceOffPoss,SecondChanceAtRimFGM,SecondChanceAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,Corner3FGM,Corner3FGA,SecondChanceCorner3FGA,PenaltyCorner3FGA,Arc3FGM,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,FG3M,FtPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3M,SecondChanceFG3A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG3M,PenaltyFtPoints,PtsAssisted2s,PtsAssisted3s,PtsUnassisted3s,PtsPutbacks,HeaveAttempts,NonHeaveArc3FGM,Fg2aBlocked,Fg3aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,DefTwoPtRebounds,FTDefRebounds,OffRebounds,SelfOReb,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,LostBallTurnovers,StepOutOfBoundsTurnovers,Travels,Turnovers,SecondChanceTurnovers,PenaltyTurnovers,BlockingFouls,Charge Fouls,Loose Ball Fouls,Offensive Fouls,Charge Fouls Drawn,Loose Ball Fouls Drawn,Offensive Fouls Drawn,BlockingFoulsDrawn,FTA,2pt And 1 Free Throw Trips,Technical Free Throw Trips,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,Blocked3s,BlockedArc3,BlockedAtRim,BlockedLongMidRange,BlockedShortMidRange,Blocks,RecoveredBlocks,DefensiveGoaltends,3SecondViolations,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,FG3APctBlocked,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,Arc3PctBlocked,LiveBallTurnoverPct,DefFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,OffThreePtReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,SelfORebPct,BlocksRecoveredPct,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,SecondChanceCorner3Frequency,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyCorner3Frequency,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,SecondChanceShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,SecondChanceCorner3FGM,PenaltyCorner3FGM,Defensive 3 Seconds Violations,LongMidRangePctBlocked,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,PenaltyCorner3Accuracy,FTOffRebounds,OffFTReboundPct,OffensiveGoaltends,Clear Path Fouls,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,3pt And 1 Free Throw Trips,BlockedCorner3,Corner3PctBlocked
1626202,1610612754,Joe Young,Joe Young,1626202,IND,130.0,2,-6.0,4,5,2.0,3,9,1.0,1.0,1.0,1.0,1.0,8,1.0,1.0,2.0,0.5,50.0,0.5,0.5,1.0,0.5,0.401825,0.39585,17.7,25.4,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1627816,1610612754,Alex Poythress,Alex Poythress,1627816,IND,130.0,2,-6.0,4,5,2.0,3,9,,,,1.0,,8,,,2.0,,25.0,,,,1.0,0.6206,,1.4,,0.5,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1628387,1610612754,Ike Anigbogu,Ike Anigbogu,1628387,IND,130.0,2,-6.0,4,5,2.0,3,9,,,,,,8,,,2.0,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1628410,1610612754,Edmond Sumner,Edmond Sumner,1628410,IND,130.0,2,-6.0,4,5,2.0,3,9,,,,1.0,,8,,,2.0,,25.0,,,,1.0,0.8508,0.8508,0.8,,0.5,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,1.0,1.0,1.0,1.0,1.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203922,1610612754,Glenn Robinson III,Glenn Robinson III,203922,IND,130.0,2,-6.0,4,5,2.0,3,9,,,,,,8,,,2.0,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1626167,1610612754,Myles Turner,Myles Turner,1626167,IND,110177.0,1836,116.0,3662,3657,743.0,749,7319,219.0,143.0,23.0,482.0,157.0,3937,24.0,142.0,718.0,0.24569640062597808,20.294117647058826,0.3427230046948357,0.2237871674491393,0.22115384615384615,0.5383411580594679,0.49076797488226054,0.5114960784313727,10.58112033195021,26.797452229299363,0.20289459311851446,187.0,0.29264475743348983,111.0,25.0,41.0,250.0,828.0,44.0,80.0,164.0,132.0,130.0,324.0,417.0,98.0,186.0,188.0,163.0,0.5186721991701245,0.55,0.5226917057902973,0.5240384615384616,0.5648907103825137,0.5942028985507246,0.17881705639614856,0.1733102253032929,0.18,0.5935828877005348,0.6686746987951807,0.3942307692307692,0.6097560975609756,0.19806763285024154,False,355.0,32.0,55.0,32.0,76.0,107.0,4.0,14.0,2.0,1.0,52.0,1.0,5.0,7.0,56.0,160.0,35.0,64.0,1.0,7.0,25.0,98.0,7.0,55.0,368.0,165.0,3.0,54.0,1.0,52.0,25.0,1.0,49.0,38.0,87.0,20.0,18.0,34.0,5.0,10.0,212.0,28.0,65.0,170.0,24.0,93.0,10.0,38.0,27.0,11.0,35.0,5.0,21.0,61.0,3.0,14.0,3.0,11.0,96.0,7.0,16.0,8.0,8.0,5.0,26.0,3.0,16.0,7.0,7.0,206.0,19.0,1.0,94.0,18.0,115.0,3.0,3.0,87.0,4.0,24.0,118.0,67.0,6.0,4.0,10.0,17.0,0.736,0.8251121076233184,0.9821428571428571,0.35668789808917195,0.14285714285714285,0.2916666666666667,0.358974358974359,0.546875,0.5140845070422535,0.5764705882352941,0.006369426751592357,0.05186721991701245,0.11229946524064172,0.05263157894736842,0.006993006993006993,0.3645833333333333,0.2727272727272727,0.1693227091633466,0.059252506836827715,0.04819277108433735,0.05542312276519666,0.0921409214092141,0.061224489795918366,0.029953917050691243,0.03711790393013101,0.08943089430894309,0.16358839050131926,0.21114369501466276,0.1267605633802817,0.17850953206239167,0.03289473684210526,0.5677966101694916,0.6126126126126126,0.1189358372456964,0.42105263157894735,0.4444444444444444,0.53125,0.4885844748858447,0.4885844748858447,0.9252336448598131,0.02190923317683881,0.2857142857142857,0.2857142857142857,1.0,0.36363636363636365,0.36619718309859156,0.9807692307692307,0.7746478873239436,0.5818181818181818,0.09375,0.028169014084507043,0.07042253521126761,0.2,1.0,0.009615384615384616,0.30434782608695654,0.36619718309859156,0.5883962962962963,0.13165266106442577,0.1687612208258528,0.11835748792270531,,,,,,,,,,,,,,,,
1626202,1610612754,Joe Young,Joe Young,1626202,IND,33351.0,556,-47.0,1105,1093,300.0,294,2198,46.0,52.0,18.0,119.0,65.0,1204,22.0,49.0,297.0,0.3532608695652174,17.595541401273884,0.25,0.2826086956521739,0.32727272727272727,0.5978260869565217,0.4994822222222221,0.49449423076923077,9.95294117647059,27.043076923076924,0.27149321266968324,45.0,0.24456521739130435,23.0,6.0,13.0,55.0,207.0,19.0,33.0,77.0,80.0,23.0,51.0,63.0,17.0,39.0,36.0,77.0,0.46218487394957986,0.5757575757575758,0.5027173913043478,0.5909090909090909,0.5256410256410257,0.6147540983606558,0.11057692307692307,0.09306930693069307,0.16216216216216217,0.5111111111111111,0.5609756097560976,0.23636363636363636,0.46153846153846156,0.3719806763285024,False,128.0,3.0,5.0,14.0,28.0,18.0,5.0,13.0,1.0,4.0,20.0,2.0,5.0,7.0,25.0,22.0,7.0,14.0,3.0,6.0,2.0,25.0,9.0,12.0,30.0,63.0,12.0,2.0,3.0,20.0,9.0,,26.0,13.0,39.0,7.0,6.0,16.0,8.0,2.0,91.0,1.0,11.0,24.0,4.0,12.0,1.0,14.0,10.0,4.0,14.0,2.0,6.0,12.0,3.0,8.0,1.0,2.0,26.0,1.0,11.0,1.0,3.0,,,3.0,1.0,3.0,2.0,29.0,4.0,3.0,12.0,3.0,1.0,,,1.0,,,1.0,1.0,,1.0,2.0,2.0,0.2727272727272727,0.2777777777777778,0.84,0.38461538461538464,0.5,0.4090909090909091,0.4032258064516129,0.5,0.575,0.5952380952380952,,0.07563025210084033,0.08888888888888889,0.14285714285714285,,0.5384615384615384,0.10526315789473684,0.08080808080808081,0.028720626631853787,0.006172839506172839,0.022018348623853212,0.03333333333333333,0.03389830508474576,0.020689655172413793,0.007692307692307693,,0.050505050505050504,0.07216494845360824,0.1188118811881188,0.09941520467836257,0.011627906976744186,1.0,0.21739130434782608,0.15217391304347827,0.5,0.5833333333333334,0.2857142857142857,0.391304347826087,0.4,0.3333333333333333,0.07065217391304347,0.38461538461538464,0.38461538461538464,1.0,0.38461538461538464,0.38461538461538464,0.8,0.25,0.6,0.3333333333333333,0.05,0.25,0.4,0.5,0.07272727272727272,0.3888888888888889,0.40816326530612246,0.449678125,0.0625,0.09448818897637795,0.12077294685990338,1.0,2.0,3.0,0.021739130434782608,1.0,1.0,0.5,,,,,,,,,
1627734,1610612754,Domantas Sabonis,Domantas Sabonis,1627734,IND,108612.0,1810,33.0,3587,3587,765.0,801,7174,125.0,32.0,6.0,624.0,37.0,3911,6.0,32.0,761.0,0.05597579425113464,22.01722017220172,0.18910741301059,0.048411497730711045,0.04838709677419355,0.5658093797276853,0.5126072617246596,0.5071213709677419,6.560897435897437,26.529729729729727,0.2132701421800948,337.0,0.5098335854765507,220.0,40.0,66.0,327.0,861.0,58.0,118.0,166.0,172.0,150.0,407.0,572.0,107.0,220.0,216.0,166.0,0.5240384615384616,0.4915254237288136,0.5242057488653555,0.49193548387096775,0.5679419525065963,0.564625850340136,0.20604395604395603,0.22437841115827775,0.174496644295302,0.6528189910979229,0.7260726072607261,0.532258064516129,0.6060606060606061,0.19279907084785133,False,407.0,43.0,85.0,62.0,162.0,45.0,3.0,5.0,,,10.0,2.0,4.0,2.0,13.0,168.0,48.0,107.0,2.0,4.0,22.0,124.0,2.0,44.0,482.0,39.0,,56.0,,10.0,47.0,1.0,82.0,69.0,151.0,49.0,20.0,37.0,8.0,37.0,371.0,37.0,123.0,220.0,37.0,165.0,21.0,40.0,27.0,13.0,57.0,12.0,29.0,80.0,8.0,28.0,,17.0,137.0,13.0,24.0,2.0,13.0,33.0,27.0,4.0,30.0,4.0,12.0,224.0,30.0,,110.0,17.0,32.0,,,18.0,2.0,12.0,32.0,17.0,3.0,2.0,11.0,17.0,0.7370030581039755,0.8060200668896321,1.0,0.35135135135135137,0.5,0.3333333333333333,0.35135135135135137,0.4485981308411215,0.4594594594594595,0.496,0.02702702702702703,0.07532051282051282,0.10089020771513353,0.06790123456790123,0.03125,0.41605839416058393,0.3978494623655914,0.23887079261672095,0.11041292639138241,0.06715063520871144,0.0960960960960961,0.14898989898989898,0.08737864077669903,0.09046454767726161,0.0660377358490566,0.07086614173228346,0.20058997050147492,0.265993265993266,0.256140350877193,0.2141623488773748,0.07806691449814127,0.53125,0.6954545454545454,0.24508320726172467,0.38271604938271603,0.4105960264900662,0.6935483870967742,0.36,0.36585365853658536,1.0,0.007564296520423601,0.6,0.6,1.0,0.3125,0.3225806451612903,1.0,0.7657657657657657,0.5058823529411764,0.20930232558139536,,0.036036036036036036,0.5,1.0,,0.3333333333333333,0.3125,0.5666870786516854,0.1484480431848853,0.15625,0.1440185830429733,,,,0.016,,,,5.0,0.06666666666666667,,,,,,,
202362,1610612754,Lance Stephenson,Lance Stephenson,202362,IND,110998.0,1850,-107.0,3647,3668,920.0,946,7315,182.0,186.0,56.0,477.0,232.0,4115,71.0,177.0,916.0,0.32722143864598024,21.65097755249819,0.2566995768688293,0.2623413258110014,0.35,0.6361071932299013,0.5066926323319026,0.5131546052631578,9.116142557651997,27.526724137931037,0.25226213326021385,219.0,0.30888575458392104,133.0,31.0,47.0,236.0,757.0,47.0,89.0,161.0,360.0,162.0,362.0,424.0,51.0,177.0,128.0,160.0,0.4947589098532495,0.5280898876404494,0.47461212976022565,0.40625,0.4934810951760104,0.4375,0.22468793342579751,0.20173805090006208,0.21897810218978103,0.6073059360730594,0.6820512820512821,0.29375,0.6595744680851063,0.21268163804491413,False,422.0,29.0,39.0,29.0,76.0,74.0,16.0,46.0,5.0,15.0,51.0,4.0,17.0,7.0,67.0,84.0,34.0,54.0,5.0,22.0,10.0,93.0,12.0,31.0,112.0,144.0,57.0,36.0,9.0,51.0,32.0,1.0,184.0,51.0,235.0,37.0,14.0,110.0,31.0,43.0,521.0,27.0,35.0,163.0,37.0,62.0,10.0,46.0,30.0,16.0,83.0,17.0,66.0,48.0,3.0,17.0,1.0,6.0,131.0,7.0,31.0,8.0,14.0,13.0,3.0,1.0,10.0,10.0,6.0,127.0,12.0,,60.0,10.0,17.0,,,9.0,,8.0,17.0,5.0,2.0,,22.0,7.0,0.23728813559322035,0.25688073394495414,0.7164179104477612,0.28879310344827586,0.22727272727272727,0.16901408450704225,0.3004484304932735,0.6296296296296297,0.5460526315789473,0.5602409638554217,0.004310344827586207,0.06708595387840671,0.1095890410958904,0.10526315789473684,0.005376344086021506,0.6335877862595419,0.30833333333333335,0.18314606741573033,0.03009458297506449,0.04631217838765009,0.035509736540664374,0.0275,0.018461538461538463,0.0410958904109589,0.048672566371681415,0.03816793893129771,0.12418300653594772,0.1624203821656051,0.2740740740740741,0.22602739726027396,0.027855153203342618,0.29411764705882354,0.3007518796992481,0.1071932299012694,0.3815789473684211,0.4264705882352941,0.13793103448275862,0.4065934065934066,0.4065934065934066,0.16216216216216217,0.06488011283497884,0.34782608695652173,0.34782608695652173,0.875,0.27419354838709675,0.2756756756756757,0.6666666666666666,0.5131578947368421,0.7435897435897436,0.06896551724137931,0.06578947368421052,0.2236842105263158,0.23529411764705882,0.75,0.09375,0.125,0.288135593220339,0.5240392857142858,0.07926023778071334,0.11428571428571428,0.12285336856010567,1.0,5.0,2.0,,0.2,1.0,0.3333333333333333,,,2.0,,,,,,
202709,1610612754,Cory Joseph,Cory Joseph,202709,IND,132588.0,2210,-49.0,4368,4408,1124.0,1180,8776,198.0,143.0,33.0,414.0,190.0,4798,46.0,141.0,1097.0,0.31456953642384106,14.761040532365396,0.32781456953642385,0.2367549668874172,0.20245398773006135,0.5049668874172185,0.48164734219269145,0.47176397515527935,11.307246376811596,25.751578947368408,0.2573260073260073,115.0,0.19039735099337748,64.0,24.0,37.0,189.0,649.0,57.0,117.0,205.0,276.0,104.0,224.0,263.0,68.0,141.0,130.0,196.0,0.45652173913043476,0.48717948717948717,0.4793046357615894,0.49693251533742333,0.5,0.5338541666666666,0.11391018619934283,0.10809476801579466,0.12195121951219512,0.5565217391304348,0.6808510638297872,0.22699386503067484,0.6486486486486487,0.31587057010785824,False,500.0,9.0,11.0,43.0,101.0,82.0,17.0,47.0,1.0,13.0,50.0,10.0,19.0,11.0,67.0,70.0,21.0,37.0,11.0,20.0,5.0,80.0,16.0,43.0,102.0,183.0,18.0,6.0,2.0,50.0,27.0,1.0,170.0,90.0,260.0,67.0,23.0,84.0,35.0,51.0,610.0,13.0,26.0,115.0,5.0,39.0,6.0,80.0,46.0,34.0,56.0,10.0,40.0,31.0,4.0,16.0,6.0,5.0,87.0,11.0,15.0,4.0,3.0,5.0,1.0,8.0,2.0,18.0,11.0,94.0,6.0,4.0,27.0,20.0,18.0,,,10.0,2.0,6.0,18.0,12.0,,,14.0,13.0,0.2698412698412698,0.27419354838709675,0.9104477611940298,0.3526315789473684,0.55,0.34782608695652173,0.35638297872340424,0.5675675675675675,0.6578947368421053,0.6666666666666666,0.005263157894736842,0.06521739130434782,0.1826086956521739,0.039603960396039604,0.006993006993006993,0.6436781609195402,0.038461538461538464,0.10332434860736747,0.018867924528301886,0.01884057971014493,0.018858800773694392,0.012526096033402923,0.02631578947368421,0.019267822736030827,0.016791044776119403,0.025974025974025976,0.11168831168831168,0.08439897698209718,0.11572700296735905,0.11214953271028037,0.019672131147540985,0.6666666666666666,0.34375,0.1672185430463576,0.42574257425742573,0.44329896907216493,0.11627906976744186,0.41414141414141414,0.41836734693877553,0.2926829268292683,0.07781456953642384,0.3617021276595745,0.3617021276595745,1.0,0.34965034965034963,0.352112676056338,0.88,0.19298245614035087,0.8181818181818182,0.2222222222222222,0.017543859649122806,0.3333333333333333,0.5263157894736842,1.0,0.07975460122699386,0.3333333333333333,0.3546099290780142,0.491313829787234,0.04472843450479233,0.06206896551724138,0.12326656394453005,1.0,5.0,,0.010101010101010102,1.0,1.0,0.38461538461538464,,,,1.0,1.0,0.005235602094240838,,,
