EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGA,SecondChanceAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Arc3FGM,Arc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2A,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassTurnovers,LostBallTurnovers,Turnovers,PenaltyTurnovers,Fouls,Loose Ball Fouls,FTA,Technical Free Throw Trips,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,PenaltyFg2Pct,EfgPct,PenaltyEfgPct,TsPct,PenaltyTsPct,FG3APct,Usage,LiveBallTurnoverPct,DefFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffLongMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,AtRimFrequency,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,AtRimFGM,PenaltyAtRimFGA,SecondChanceFtPoints,SecondChancePoints,PenaltyFtPoints,Fg2aBlocked,TwoPtAssists,Assists,AtRimAssists,AssistPoints,OffThreePtRebounds,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,ShootingFouls,FoulsDrawn,Charge Fouls Drawn,Loose Ball Fouls Drawn,Offensive Fouls Drawn,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,DefensiveGoaltends,NonShootingPenaltyNonTakeFoulsDrawn,SecondChanceTsPct,FG2APctBlocked,AtRimPctBlocked,OffThreePtReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffArc3ReboundPct,DefAtRimReboundPct,AtRimAccuracy,UnblockedAtRimAccuracy,PenaltyAtRimFrequency,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,LongMidRangeAssists,SecondChanceArc3FGM,SecondChanceArc3FGA,SecondChanceFG3M,SecondChanceFG3A,HeaveAttempts,Fg3aBlocked,2pt And 1 Free Throw Trips,SecondChanceFg3Pct,SecondChanceEfgPct,FG3APctBlocked,Arc3PctBlocked,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,ThreePtAssists,Arc3Assists,Blocked2s,BlockedAtRim,Blocks,LongMidRangePctBlocked,BadPassOutOfBoundsTurnovers,SecondChanceAtRimFGM,PenaltyAtRimFGM,SecondChanceFG2M,PtsPutbacks,Travels,SecondChanceFg2Pct,DefShortMidRangeReboundPct,ShortMidRangePctAssisted,SecondChanceAtRimAccuracy,PenaltyAtRimAccuracy,SelfOReb,SelfORebPct,ShortMidRangeAssists,AtRimPctAssisted,on,Corner3FGM,Corner3FGA,PenaltyCorner3FGA,Corner3Assists,SecondChanceTurnovers,Charge Fouls,Offensive Fouls,BlockedShortMidRange,RecoveredBlocks,ShortMidRangePctBlocked,OffCorner3ReboundPct,BlocksRecoveredPct,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,PenaltyCorner3Frequency,StepOutOfBoundsTurnovers,BlockingFoulsDrawn,Blocked3s,BlockedArc3,OffensiveGoaltends,3SecondViolations,Defensive 3 Seconds Violations,DefCorner3ReboundPct,SecondChanceAtRimPctAssisted,BlockedLongMidRange,SecondChanceCorner3FGM,SecondChanceCorner3FGA,PenaltyCorner3FGM,PtsUnassisted3s,3pt And 1 Free Throw Trips,ThreePtShootingFoulsDrawn,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,PenaltyCorner3Accuracy,ThreePtShootingFoulsDrawnPct,Corner3PctBlocked,BlockingFouls,BlockedCorner3
101107,1610612737,Marvin Williams,Marvin Williams,101107,ATL,1267.0,21,6,41,39,20,27,7,80,1.0,1.0,1.0,1.0,2.0,4.0,1.0,1.0,1.0,1.0,3.0,6,1.0,1.0,1.0,10.0,37,1.0,1.0,1.0,1.0,1.0,5.0,4.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,4.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,5.0,20,1.0,0.6666666666666666,0.6666666666666666,1.0,1.0,1.0,1.0,0.5,1.0,0.6428571428571429,1.25,0.6428571428571429,1.25,0.14285714285714285,18.75,1.0,1.0,0.06666666666666667,0.07142857142857142,0.25,0.10526315789473684,0.05555555555555555,0.16666666666666666,0.09090909090909091,0.25,0.14285714285714285,0.14285714285714285,1.0,1.0,0.5714285714285714,0.5,0.5,1.0,0.14285714285714285,1.0,1.0,1.0,1.0,0.5,1.0,0.2857142857142857,1.0,0.3915214285714286,0.5185,0.42012499999999997,0.5,16.433333333333334,25.5,0.4878048780487805,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200756,1610612737,Hilton Armstrong,Hilton Armstrong,200756,ATL,2126.0,35,1,66,64,26,52,12,130,4.0,2.0,,1.0,,,,,,,1.0,5,,,3.0,5.0,63,2.0,,3.0,,,3.0,,2.0,,,,3.0,,4.0,2.0,6.0,4.0,10.0,3.0,1.0,2.0,1.0,1.0,,2.0,,7.0,,6.0,,3.0,26,2.0,,,,,,,0.2,,0.2,,0.3125,0.25,,12.658227848101266,0.5,0.5,0.2,0.11538461538461539,,0.13793103448275862,0.125,,0.2727272727272727,,0.8,0.2,,,,,,,,,,,1.0,,,0.8,,0.59344,0.59385,0.5718333333333333,0.6,1.7,,0.3939393939393939,1.0,2.0,2.0,2.0,3.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,5.0,6.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.25,0.4,0.5,0.16666666666666666,0.2857142857142857,0.14285714285714285,0.16666666666666666,0.2,0.25,0.5,0.6666666666666666,0.2857142857142857,0.2857142857142857,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201143,1610612737,Al Horford,Al Horford,201143,ATL,507.0,8,-3,15,14,3,11,3,29,,,,1.0,1.0,1.0,,,,,1.0,2,,,2.0,4.0,18,,,,,,,2.0,,,,,,1.0,,,1.0,,1.0,,,,,,,,,,,2.0,,,3,,1.0,1.0,,,,,0.5,,0.5,,0.6666666666666666,,,16.666666666666668,,,,,0.3333333333333333,0.3333333333333333,,,,0.3333333333333333,,0.5,,,0.5,1.0,1.0,1.0,,,,,,,,,,0.3962,,,,14.35,,0.2,,,,,,,1.0,1.0,,2.0,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,0.3333333333333333,0.3333333333333333,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2037,1610612737,Jamal Crawford,Jamal Crawford,2037,ATL,984.0,16,-12,32,30,8,26,6,62,,,,1.0,3.0,5.0,1.0,4.0,,2.0,3.0,6,1.0,4.0,2.0,11.0,37,,1.0,2.0,,2.0,3.0,2.0,4.0,3.0,3.0,1.0,,,,,,,,,,,,,,,,,,5.0,,3.0,8,,0.3333333333333333,0.3333333333333333,1.0,0.25,,0.3333333333333333,0.5,0.5,0.45,0.25,0.4583333333333333,0.3,0.4,30.769230769230766,,,,,,,,,,,,0.1,,,0.5,0.6,0.6,0.3333333333333333,0.4,0.25,0.3333333333333333,1.0,,0.5,,0.4,0.3333333333333333,0.44412222222222225,0.5682,0.44418749999999996,0.2727272727272727,17.21666666666667,29.450000000000003,0.25,,,,3.0,1.0,,,,,,,,,,4.0,,,,3.0,,,,0.75,,,,,,,,,,,0.25,0.375,0.2727272727272727,,1.0,2.0,1.0,2.0,1.0,1.0,1.0,0.5,0.75,0.25,0.25,1.0,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2550,1610612737,Kirk Hinrich,Kirk Hinrich,2550,ATL,647.0,11,-12,20,19,4,16,2,39,,,,1.0,,2.0,,,,,,3,,,,,27,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,4,1.0,,,,,,,,,,,,,,13.636363636363637,,,,,,,,,,,,0.3333333333333333,,,0.6666666666666666,,,,,,,,,,,,,0.39386666666666664,,0.4209,,15.633333333333333,,0.2,,,,,,1.0,,1.0,,3.0,,,,,,,,,,,,,,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,0.5,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201952,1610612737,Jeff Teague,Jeff Teague,201952,ATL,629.0,10,7,20,20,11,20,3,40,2.0,,,,,2.0,,1.0,,,1.0,4,,1.0,3.0,5.0,14,,,1.0,,,2.0,,2.0,,1.0,,,1.0,,,1.0,,1.0,,,,,,,1.0,1.0,1.0,,4.0,,2.0,11,,,,,,,,0.25,,0.2,,0.35714285714285715,0.5,0.2,33.333333333333336,,,,,0.2,0.08333333333333333,,,,0.2,0.4,,,,0.4,,,,0.2,,,,,,,0.6,,0.5180999999999999,,0.8029,0.4,10.625,25.0,0.55,1.0,1.0,,,2.0,,1.0,2.0,,5.0,,1.0,,1.0,2.0,,,,2.0,,,,,,,,,,,,0.5,0.5,1.0,0.2857142857142857,0.3333333333333333,,1.0,,,,,,,,,,,,,,,1.0,1.0,,,,,1.0,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2694,1610612737,Josh Powell,Josh Powell,2694,ATL,1129.0,19,14,35,35,19,26,7,70,2.0,1.0,1.0,2.0,1.0,1.0,,,,,3.0,5,,,,6.0,24,2.0,1.0,2.0,,,2.0,4.0,2.0,,,,2.0,1.0,2.0,,3.0,2.0,5.0,,,,,,,1.0,1.0,,,,,2.0,19,,0.6666666666666666,1.0,,,,,0.6,0.5,0.6,0.5,0.6,0.5,,13.953488372093023,,,0.15384615384615385,0.16666666666666666,0.2,0.16666666666666666,0.13333333333333333,0.2,0.1,0.2,0.4,0.4,0.5,0.5,0.2,1.0,1.0,1.0,,,,,0.5,,,0.4,,0.48306000000000004,0.5487,0.5531,0.3333333333333333,8.48,,0.5428571428571428,1.0,1.0,,4.0,,1.0,,,,,,1.0,,,,,,,,,,,1.0,0.2,0.5,,0.25,,,,0.5,1.0,0.5,,,0.6666666666666666,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,1.0,2.0,2.0,1.0,1.0,0.5,1.0,1.0,1.0,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2863,1610612737,Damien Wilkins,Damien Wilkins,2863,ATL,1113.0,19,14,35,34,19,26,7,69,2.0,1.0,,1.0,1.0,1.0,,2.0,,2.0,3.0,4,,2.0,,6.0,24,1.0,2.0,2.0,,2.0,4.0,2.0,4.0,,2.0,,1.0,,3.0,,3.0,1.0,4.0,,,,,,,,,1.0,,,,4.0,19,,0.3333333333333333,0.5,,,,,0.75,1.0,0.5,0.5,0.5,0.5,0.3333333333333333,13.953488372093023,,,0.23076923076923078,0.08333333333333333,,0.16666666666666666,0.06666666666666667,,0.3,,0.3333333333333333,0.16666666666666666,,,0.16666666666666666,1.0,1.0,1.0,0.3333333333333333,,,,1.0,0.5,,0.6666666666666666,,0.4695666666666667,0.6944,0.41585,0.6666666666666666,5.2749999999999995,26.6,0.5428571428571428,2.0,1.0,,2.0,,,1.0,1.0,,2.0,,,,,,,,,,,,,1.0,,,,,0.3333333333333333,,,1.0,1.0,0.25,,,0.3333333333333333,1.0,,,,,,,,,1.0,,,,,,,,,,,,,1.0,1.0,1.0,2.0,,1.0,,,1.0,1.0,1.0,0.3333333333333333,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202377,1610612737,Pape Sy,Pape Sy,202377,ATL,658.0,11,6,18,20,10,11,5,38,1.0,,1.0,1.0,,1.0,,,,,2.0,3,,,2.0,6.0,13,1.0,1.0,1.0,,,3.0,2.0,2.0,,,,1.0,,,,,1.0,1.0,1.0,,1.0,1.0,1.0,,1.0,1.0,1.0,,4.0,,3.0,10,,0.5,0.5,,,,,0.6666666666666666,1.0,0.6666666666666666,1.0,0.6,0.75,,26.08695652173913,1.0,,,0.14285714285714285,,,0.125,,,,0.3333333333333333,0.3333333333333333,1.0,1.0,0.3333333333333333,,,,,,,,,,,0.3333333333333333,,0.5489333333333334,0.3801,0.9069,0.5,9.200000000000001,,0.5555555555555556,1.0,1.0,1.0,1.0,1.0,,3.0,3.0,,6.0,,,,1.0,2.0,,,,2.0,,,,0.25,,,,,0.3333333333333333,,,1.0,1.0,1.0,0.4,0.4,0.16666666666666666,2.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,,1.0,1.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2207,1610612737,Joe Johnson,Joe Johnson,2207,ATL,805.0,13,-10,24,23,3,23,5,47,1.0,,,1.0,1.0,3.0,1.0,1.0,,,1.0,5,1.0,1.0,,5.0,31,,,1.0,,,,2.0,,3.0,1.0,1.0,2.0,1.0,,1.0,2.0,2.0,4.0,1.0,1.0,,1.0,1.0,,2.0,,,,,,,3,,1.0,1.0,1.0,1.0,,1.0,0.2,,0.4166666666666667,,0.4166666666666667,,0.16666666666666666,27.586206896551726,0.5,1.0,,0.16666666666666666,0.3333333333333333,0.1,0.14285714285714285,0.16666666666666666,,0.5,0.16666666666666666,0.16666666666666666,,,0.5,0.3333333333333333,0.3333333333333333,1.0,0.16666666666666666,1.0,1.0,1.0,,,,0.3333333333333333,1.0,0.38738333333333336,,0.4191,,13.919999999999998,25.6,0.125,,,,,,,2.0,3.0,1.0,7.0,,1.0,1.0,,1.0,,,,,,,,,,,,,0.3333333333333333,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,2.0,0.5,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
